date,security_id,open_price,high_price,low_price,close_price,volume
2026-04-15,AAPL,257.7001261657452,266.08515659729386,257.35074355126085,265.95538330078125,49913500
2026-04-16,AAPL,266.3247234477873,266.68409800240715,260.80457553569033,262.9307861328125,43323100
2026-04-17,AAPL,266.4844323486072,271.8149160854778,266.24486962975914,269.7486267089844,61436200
2026-04-20,AAPL,269.84841238867654,273.7913879220191,269.80850557942483,272.5635681152344,36590200
2026-04-21,AAPL,271.0163536236942,272.3140256362382,264.9272139873882,265.69586181640625,50209800
2026-04-22,AAPL,267.3429346055621,273.2523721409737,266.39461467279705,272.68341064453125,43249200
2026-04-23,AAPL,274.56001085217736,275.2787294551341,271.1660737405759,272.9429016113281,33399600
2026-04-24,AAPL,272.2741016414235,272.5735550213531,269.16962610782736,270.5771179199219,38157100
2026-04-27,AAPL,265.6159889280984,267.88193422863776,264.59781690250213,267.1332702636719,41466800
2026-04-28,AAPL,271.8548539018017,272.7432830913257,268.181416710472,270.2277526855469,40018900
2026-04-29,AAPL,267.07336249706583,270.55716597281076,266.56429174844374,269.688720703125,30047900
2026-04-30,AAPL,270.018146234023,275.50834883767226,267.6623648300734,270.86663818359375,91848200
2026-05-01,AAPL,278.3632420760759,286.70836594964845,277.8741246788477,279.6409912109375,79915400
2026-05-04,AAPL,279.16179801165765,280.13007120517506,274.3703307853319,276.3368225097656,46668400
2026-05-05,AAPL,276.43668191704,284.0630869835518,276.00745521106614,283.67376708984375,49311700
2026-05-06,AAPL,281.4178249779708,287.5169265187869,280.5693330033821,286.99786376953125,58336100
2026-05-07,AAPL,288.75470528792926,291.6096265406606,285.2709318587503,286.927978515625,45224300
2026-05-08,AAPL,289.49338424193445,294.2349225642168,289.48339230776435,292.7974853515625,52692800
2026-05-11,AAPL,291.72841688276577,293.6267735875138,289.979924827367,292.42779541015625,42247300
2026-05-12,AAPL,292.3078994315659,295.0155556946294,292.3078994315659,294.54595947265625,45748100
2026-05-13,AAPL,293.24708951115105,300.6607090744109,293.24708951115105,298.6124572753906,52684300
2026-05-14,AAPL,299.5616620172475,300.1911240450107,295.12548538387824,297.9530334472656,35324900
2026-05-15,AAPL,297.643304079477,302.93875555297063,296.26448829773227,299.9713134765625,54862800
2026-05-18,AAPL,299.98126929450746,300.4009207908792,294.6558756451712,297.5833435058594,34483000
2026-05-19,AAPL,296.7140952726279,300.2510533099592,296.09463441963413,298.7123718261719,42243600
2026-05-20,AAPL,297.9230626302997,302.5390768782648,297.82314269813475,301.98956298828125,38229800
2026-05-21,AAPL,300.80056674721834,305.27671719779084,300.1411318265125,304.7271728515625,42965100
2026-05-22,AAPL,305.85620846339293,311.13165741506583,305.57645096183757,308.55389404296875,43670200
2026-05-26,AAPL,309.29325163060713,311.5513139598484,307.4048960873393,308.0643005371094,48000500
2026-05-27,AAPL,308.0643052358437,312.9900803339556,308.0343323058515,310.5821533203125,50430900
